text,label
Bạn có thể gợi ý phòng khám cho đau đầu gối không,1
Tôi nên đi đâu để khám tiểu đường,1
Ho lâu ngày thì nên gặp bác sĩ nào,1
Tôi muốn kiểm tra huyết áp thì đi đâu,1
Có bệnh viện nào khám dị ứng da không,1
Tôi bị chóng mặt nên khám ở khoa nào,1
Đau ngực thì nên đi khám ở đâu,1
Có phòng khám nào kiểm tra mắt không,1
Tôi nên gặp bác sĩ nào khi bị đau răng,1
Bị mất ngủ thì nên khám bác sĩ nào,1
Nên đi đâu để kiểm tra cholesterol,1
Đau khớp nên khám chuyên khoa nào,1
Tôi bị khó thở nên đi khám ở đâu,1
Phòng khám nào điều trị đau nửa đầu,1
Có bệnh viện nào khám tai mũi họng tốt không,1
Tôi nên khám ở đâu khi bị đau dạ dày,1
What causes frequent headaches,0
Why do I keep feeling dizzy sometimes,0
How can I reduce back pain at home,0
Is chest pain always a serious problem,0
What are common symptoms of diabetes,0
How can I improve my sleep quality,0
What medicine helps with sore throat,0
Why do people get migraines,0
How long does a cough usually last,0
What should I do if I feel tired all the time,0
Can stress cause stomach pain,0
Is it normal to feel dizzy after standing up,0
What are the symptoms of high blood pressure,0
How can I treat a mild fever at home,0
What food should I avoid if I have stomach pain,0
Why do my joints hurt when it rains,0
Is headache a symptom of dehydration,0
How can I relieve eye strain,0
What causes insomnia,0
How can I reduce anxiety naturally,0
Đau đầu là do nguyên nhân gì,0
Tại sao tôi hay bị chóng mặt,0
Làm sao giảm đau lưng tại nhà,0
Đau ngực có nguy hiểm không,0
Triệu chứng của tiểu đường là gì,0
Làm sao ngủ ngon hơn vào ban đêm,0
Nên làm gì khi bị sốt nhẹ,0
Ho kéo dài có phải dấu hiệu bệnh nặng không,0
Đau dạ dày nên ăn gì,0
Tại sao tôi hay cảm thấy mệt mỏi,0
Chóng mặt khi đứng lên có bình thường không,0
Nguyên nhân gây mất ngủ là gì,0
Đau khớp có phải do tuổi tác không,0
Triệu chứng cao huyết áp gồm những gì,0
Làm sao giảm căng thẳng hiệu quả,0
Đau họng thì nên làm gì,0
Tại sao mắt tôi hay bị khô,0
Ho ban đêm là do đâu,0
Đau đầu buổi sáng có nguy hiểm không,0
Làm sao cải thiện sức khỏe tim mạch,0
I think I should get my stomach checked somewhere,1
Maybe I should see a doctor about this headache,1
Không biết đau ngực như vậy có nên đi bệnh viện không,1
Should I take medicine for my headache,0
I have chest pain is it dangerous,0
Tôi bị ho có cần uống thuốc không,0
hey my knee hurts a lot lately where do people usually go check this,1
ugh this headache again what could be causing it,0
hey my chest kinda hurts lately where do people usually go check that,1
my knee has been bothering me for weeks should i see someone,1
not sure if this headache is serious maybe i should get it checked somewhere,1
i think i should get my stomach checked any clinic for that,1
been coughing for a long time what doctor usually handles this,1
my back pain keeps coming back where should i go for this,1
do hospitals usually have a department for sleep problems,1
i probably need to check my blood pressure somewhere,1
my eye feels weird these days where can i get it checked,1
been dizzy lately maybe i should see a doctor somewhere,1
i guess i should go to a hospital for this chest pain right,1
any clinic that usually deals with allergies,1
who do people see when they have migraine problems,1
i might need a doctor for my stomach issues,1
where do people go when their joints hurt a lot,1
is there a place to check if i have diabetes,1
thinking about getting my heart checked any suggestion,1
where would you go if your throat hurts a lot,1
which clinic usually checks ear problems,1
where can i check breathing problems,1
tôi bị đau đầu mấy ngày rồi chắc nên đi khám ở đâu nhỉ,1
đau bụng như này chắc phải đi bệnh viện đúng không,1
không biết ho lâu ngày thì nên khám chỗ nào,1
tôi nên kiểm tra huyết áp ở đâu nhỉ,1
đau ngực nhẹ vậy có nên đi khám tim không,1
tôi bị dị ứng da chắc phải đi khám ở đâu đó,1
đau lưng nhiều quá chắc nên gặp bác sĩ nào đó,1
không biết chóng mặt vậy thì nên đi khám khoa nào,1
chắc tôi nên đi kiểm tra dạ dày ở đâu nhỉ,1
mất ngủ lâu ngày chắc phải gặp bác sĩ đúng không,1
đau khớp vậy thì nên khám ở đâu ta,1
tôi muốn kiểm tra sức khỏe tim thì nên đi bệnh viện nào,1
có chỗ nào khám đau đầu gối không,1
chắc tôi cần kiểm tra mắt ở đâu đó,1
tôi bị đau tai không biết nên đi khám ở đâu,1
đau răng vậy chắc phải đi nha khoa đúng không,1
tôi nên đi đâu để kiểm tra cholesterol,1
không biết khó thở vậy nên đi khám khoa nào,1
tôi nên đi khám dạ dày ở đâu,1
có phòng khám nào kiểm tra tiểu đường không,1
ugh this headache again why does this keep happening,0
i feel tired all the time lately what's going on,0
is chest pain always serious or not really,0
why do i feel dizzy when i stand up fast,0
my throat hurts a bit should i just drink water,0
been coughing for days is that normal,0
what causes stomach pain usually,0
how do people deal with insomnia naturally,0
is it bad if my joints hurt when it rains,0
what does migraine actually feel like,0
is it normal to feel weak after not sleeping well,0
why do my eyes feel dry at night,0
how long does flu usually last,0
what should i do if i feel stressed all the time,0
can anxiety cause chest tightness,0
does drinking coffee cause headaches,0
why does my stomach feel bloated sometimes,0
how do you reduce back pain at home,0
is it normal to feel sleepy all day,0
why do i keep sneezing lately,0
tại sao tôi hay bị đau đầu vậy,0
sao dạo này tôi hay mệt quá,0
đau bụng nhẹ vậy có sao không,0
tại sao đứng lên nhanh lại bị chóng mặt,0
ho mấy ngày vậy có bình thường không,0
tại sao tôi khó ngủ vào ban đêm,0
đau họng vậy có cần uống thuốc không,0
tại sao mắt tôi hay bị khô,0
đau khớp khi trời lạnh là do gì,0
tôi hay bị stress thì phải làm sao,0
đau đầu buổi sáng có nguy hiểm không,0
tại sao tôi hay buồn ngủ ban ngày,0
tôi bị ho khan là dấu hiệu bệnh gì,0
tại sao tôi hay cảm thấy yếu người,0
mất ngủ kéo dài có sao không,0
đau dạ dày thì nên ăn gì,0
sao tôi hay bị chóng mặt gần đây,0
tại sao tôi khó thở khi chạy nhanh,0
đau mắt có thể do nguyên nhân gì,0
tại sao tôi hay bị dị ứng da,0
hey quick question if someone has chest pain where do they normally go check,1
my friend said i should check my blood pressure somewhere any idea where,1
this cough isn't going away maybe i should see someone,1
thinking i might need a doctor for this stomach thing,1
do clinics handle migraine checks,1
is there a hospital that checks heart stuff,1
who should i see if my knee keeps hurting,1
maybe i should get my lungs checked somewhere,1
where do people go for allergy tests usually,1
i might need to check my eyes any clinic suggestion,1
tôi nghĩ mình nên kiểm tra tim ở đâu đó,1
chắc tôi cần gặp bác sĩ vì đau lưng quá,1
không biết khám đau đầu gối thì đi đâu,1
tôi muốn kiểm tra huyết áp thì đi đâu nhỉ,1
tôi bị ho chắc nên đi khám rồi,1
đau dạ dày vậy chắc phải đi bệnh viện,1
tôi nên gặp bác sĩ nào khi bị chóng mặt,1
có chỗ nào kiểm tra mắt không nhỉ,1
đau tai vậy chắc nên đi khám đúng không,1
tôi muốn kiểm tra sức khỏe tổng quát ở đâu,1
hmm why do i feel dizzy after working out,0
why do i wake up with headaches sometimes,0
what causes random stomach cramps,0
is sore throat common when weather changes,0
why do i feel sleepy even after sleeping enough,0
does stress cause stomach issues,0
why does my back hurt when sitting long,0
can dehydration cause headache,0
why do my eyes hurt after using computer,0
what are early signs of flu,0
tại sao tôi bị đau đầu sau khi làm việc lâu,0
tại sao ngồi lâu lại bị đau lưng,0
tại sao tôi hay bị buồn ngủ,0
đau dạ dày có phải do ăn uống không,0
tại sao tôi hay bị dị ứng khi trời lạnh,0
đau họng khi thay đổi thời tiết có bình thường không,0
tại sao tôi hay bị đau cổ,0
tại sao tôi cảm thấy mệt sau khi tập thể dục,0
đau mắt khi nhìn màn hình lâu có sao không,0
tại sao tôi hay bị ho vào ban đêm,0
so i've been having chest pain should i just rest or take medicine,0
my stomach hurts do you think it's something serious,0
i keep coughing at night is that normal,0
is it bad if my knee hurts after running,0
my back hurts should i stretch more or rest,0
i have headaches almost every day is that dangerous,0
my throat feels weird should i drink warm water,0
i feel dizzy sometimes is that a big problem,0
my chest feels tight sometimes is that anxiety,0
i can't sleep well these days what should i do,0
i've had stomach pain since yesterday should i take medicine,0
my knee hurts when i walk should i stop exercising,0
i get headaches when using my laptop too long is that normal,0
my eyes feel dry should i use eye drops,0
my back pain comes and goes is that normal,0
i sometimes feel my heart beating fast is that okay,0
my stomach feels bloated after eating is that normal,0
i wake up with headaches sometimes why,0
my throat hurts when i swallow should i worry,0
my joints hurt when it's cold outside why,0
tôi bị đau đầu vậy có cần uống thuốc không,0
tôi bị đau bụng vậy có nguy hiểm không,0
tôi bị chóng mặt vậy có sao không,0
tôi ho nhiều vậy có bình thường không,0
đau lưng vậy thì nên nghỉ ngơi hay tập thể dục,0
đau họng vậy nên uống nước ấm đúng không,0
tôi bị mất ngủ vậy phải làm sao,0
đau khớp khi trời lạnh là bình thường à,0
tôi bị đau đầu sau khi làm việc nhiều là do gì,0
tôi bị đau bụng sau khi ăn là bình thường không,0
khó thở nhẹ khi chạy nhanh có sao không,0
tôi hay bị chóng mặt khi đứng lên nhanh là sao,0
tôi hay buồn ngủ vào ban ngày là do gì,0
tôi bị đau cổ sau khi ngủ dậy là bình thường không,0
tôi bị đau mắt khi nhìn màn hình lâu là sao,0
tôi bị đau đầu mỗi sáng có nguy hiểm không,0
tôi bị ho khan lâu ngày có đáng lo không,0
tôi bị mệt mỏi suốt ngày là do gì,0
đau dạ dày thì nên ăn gì cho đỡ,0
tôi bị đau đầu khi thiếu ngủ là bình thường không,0
hmm this headache has been going on for days maybe i should get it checked somewhere,1
my stomach pain isn't going away i think i need to see someone,1
i've been coughing for weeks maybe i should go get checked,1
my chest pain worries me maybe i should visit a hospital,1
this knee pain is getting worse i probably need a doctor,1
my back pain keeps coming back i should probably see a specialist,1
i feel dizzy a lot lately maybe i should get it checked,1
i think i should check my blood pressure somewhere,1
my eyes have been hurting maybe i should see someone about it,1
i've had insomnia for weeks i guess i should see a doctor,1
this stomach issue is bothering me maybe time to visit a clinic,1
my heart feels weird sometimes maybe i should get a checkup,1
this allergy keeps coming back maybe i should go to a clinic,1
i think i need to check my lungs somewhere,1
my throat hurts a lot lately maybe a doctor should look at it,1
đau đầu mấy ngày rồi chắc tôi nên đi khám ở đâu đó,1
đau bụng vậy chắc phải đi kiểm tra dạ dày rồi,1
tôi ho lâu quá chắc nên đi khám rồi,1
tôi hay bị chóng mặt chắc nên kiểm tra sức khỏe,1
đau ngực vậy chắc nên đi bệnh viện xem sao,1
đau lưng kiểu này chắc phải gặp bác sĩ rồi,1
mất ngủ lâu ngày chắc nên đi khám,1
tôi bị dị ứng da hoài chắc phải đi kiểm tra,1
tôi nghĩ mình nên kiểm tra tim ở đâu đó,1
không biết đau đầu gối vậy có nên đi khám không,1
tôi chắc cần kiểm tra mắt rồi,1
tôi nên đi khám tai vì đau tai mấy ngày rồi,1
chắc phải đi kiểm tra huyết áp thôi,1
tôi bị đau dạ dày vậy chắc nên đi bệnh viện,1
tôi nghĩ mình nên kiểm tra sức khỏe tổng quát,1
Gợi ý dịch vụ cho người bị stress,1
Gợi ý dịch vụ chăm sóc sức khỏe cho người bị stress,1
Gợi ý dịch vụ hỗ trợ người bị stress kéo dài,1
Gợi ý dịch vụ điều trị stress hiệu quả,1
Gợi ý dịch vụ giúp giảm stress,1
Gợi ý dịch vụ chăm sóc tinh thần cho người stress,1
Gợi ý dịch vụ trị stress ở đâu tốt,1
Gợi ý dịch vụ hỗ trợ tâm lý cho người bị stress,1
Gợi ý dịch vụ thư giãn cho người bị stress nhiều,1
Gợi ý dịch vụ điều trị căng thẳng thần kinh,1
Gợi ý dịch vụ giúp cải thiện stress,1
Gợi ý dịch vụ y tế cho người bị stress,1
Gợi ý dịch vụ chăm sóc tâm lý cho stress,1
Gợi ý dịch vụ hỗ trợ giảm stress nhanh,1
Gợi ý dịch vụ điều trị stress ở bệnh viện,1
Gợi ý dịch vụ khám cho người bị stress,1
Gợi ý dịch vụ kiểm tra sức khỏe tinh thần,1
Gợi ý dịch vụ cho người hay bị stress,1
Gợi ý dịch vụ chăm sóc sức khỏe tâm thần,1
Gợi ý dịch vụ giảm stress tại phòng khám,1
Gợi ý dịch vụ cho người bị căng thẳng nhiều,1
Gợi ý dịch vụ trị stress lâu ngày,1
Gợi ý dịch vụ khám stress ở đâu,1
Gợi ý dịch vụ hỗ trợ tâm lý khi bị stress,1
Gợi ý dịch vụ trị stress hiệu quả ở đâu,1
Gợi ý dịch vụ chăm sóc sức khỏe khi bị stress,1
Gợi ý dịch vụ điều trị stress mãn tính,1
Gợi ý dịch vụ cho người bị stress,1
Gợi ý dịch vụ cho người bị mất ngủ,1
Gợi ý dịch vụ cho người bị đau đầu,1
Gợi ý dịch vụ cho người bị đau lưng,1
Gợi ý dịch vụ cho người bị đau dạ dày,1
Gợi ý dịch vụ cho người bị cao huyết áp,1
Gợi ý dịch vụ cho người bị tiểu đường,1
Gợi ý dịch vụ cho người bị đau khớp,1
Gợi ý dịch vụ cho người bị đau vai gáy,1
Gợi ý dịch vụ cho người bị đau đầu gối,1
Gợi ý dịch vụ cho người bị chóng mặt,1
Gợi ý dịch vụ cho người bị dị ứng da,1
Gợi ý dịch vụ cho người bị viêm họng,1
Gợi ý dịch vụ cho người bị ho kéo dài,1
Gợi ý dịch vụ cho người bị đau ngực,1
Gợi ý dịch vụ cho người bị khó thở,1
Gợi ý dịch vụ cho người bị đau tai,1
Gợi ý dịch vụ cho người bị đau răng,1
Gợi ý dịch vụ cho người bị đau mắt,1
Gợi ý dịch vụ cho người bị khô mắt,1
Gợi ý dịch vụ cho người bị đau cổ,1
Gợi ý dịch vụ cho người bị viêm xoang,1
Gợi ý dịch vụ cho người bị đau bụng,1
Is it possible to treat hypertension without medication,0
Can chest pain go away on its own,0
Do I really need to see a doctor for a mild fever,0
Is back pain something that heals naturally,0
Should I be worried about occasional dizziness,0
Can anxiety be managed without professional help,0
Is it normal to feel tired all the time,0
What happens if diabetes is left untreated,0
Can high blood pressure cause headaches,0
How serious is a cough that lasts more than two weeks,0
What does it mean when your heart beats irregularly,0
Are stomach ulcers dangerous if not treated,0
Does stress really cause physical symptoms,0
How long does a typical cold last,0
Can insomnia lead to serious health problems,0
What are the early warning signs of a stroke,0
Is knee pain always a sign of arthritis,0
Can poor diet cause mental health issues,0
What lifestyle changes help reduce cholesterol,0
How does lack of sleep affect the immune system,0
Đau ngực có tự hết không hay cần điều trị,0
Huyết áp cao có nguy hiểm không nếu không uống thuốc,0
Bị mất ngủ lâu dài ảnh hưởng gì đến sức khỏe,0
Đau lưng mãn tính có thể tự khỏi không,0
Tiểu đường có chữa được hoàn toàn không,0
Chóng mặt thường xuyên có phải dấu hiệu bệnh nặng không,0
Lo âu kéo dài có ảnh hưởng đến tim mạch không,0
Viêm dạ dày nếu không điều trị sẽ ra sao,0
Đau đầu buổi sáng có phải do huyết áp không,0
Mệt mỏi liên tục là triệu chứng của bệnh gì,0
Sốt nhẹ kéo dài vài ngày có cần lo không,0
Ăn nhiều đường có gây tiểu đường không,0
Tập thể dục có giúp giảm huyết áp không,0
Đau khớp gối ở người trẻ có nguy hiểm không,0
Căng thẳng kéo dài gây ra những bệnh gì,0
"i've been having chest pain lately, is that something serious",0
"my head has been hurting for days, could it be something bad",0
"lately i feel tired no matter how much i sleep, is that normal",0
"i think i might have high blood pressure, how would i know",0
"been feeling dizzy whenever i stand up quickly, what causes that",0
"my stomach hurts after every meal, what could be wrong",0
"i wake up with back pain every morning, what does that mean",0
